Tipo,Codigo,Teclado,Rele,Fecha_Creacion
TAG,9568530,1,1,267696
TAG,4048530,1,1,270814
TAG,5933080,1,1,274661
TAG,4201688,1,1,277588
TAG,4063228,1,1,279667
TAG,9534599,1,1,281550
TAG,9426373,1,1,286039
TAG,9780248,1,1,287914
TAG,9543936,1,1,289598
TAG,9574388,1,1,292660
TAG,9927375,1,1,299215
TAG,12155576,1,1,300295
TAG,9567791,1,1,301338
TAG,12189203,1,1,302291
TAG,9595016,1,1,303442
TAG,9325207,1,1,304065
TAG,9503434,1,1,308620
TAG,12125283,1,1,309587
TAG,9423488,1,1,310861
TAG,12418133,1,1,311978
TAG,12173925,1,1,324358
TAG,10030761,1,1,325236
TAG,10355790,1,1,326125
TAG,10138140,1,1,327183
TAG,10494206,1,1,328814
TAG,9172725,1,1,329693
TAG,9985048,1,1,331109
TAG,8642790,1,1,331955
TAG,8687464,1,1,332790
TAG,10452143,1,1,345892
TAG,9822634,1,1,346575
TAG,10137725,1,1,347223
TAG,10186917,1,1,347954
TAG,10367062,1,1,348687
TAG,10211319,1,1,349411
TAG,10020323,1,1,350128
TAG,10053991,1,1,350869
TAG,10040511,1,1,351706
TAG,10379475,1,1,352533
TAG,9023917,1,1,357013
TAG,8700829,1,1,357854
TAG,8558906,1,1,358672
TAG,8835657,1,1,359565
TAG,8635781,1,1,360464
TAG,9302136,1,1,361364
TAG,12420162,1,1,362208
TAG,9703326,1,1,363070
TAG,10103644,1,1,363952
TAG,10051290,1,1,364858
